run,epoch,loss_f,loss_g,loss_s,R1@0.5,R1@0.7,mAP,mIoU
CL-4,1,0.0669,0.4338,0.0000,44.02,17.99,25.32,40.32
CL-4,3,0.0745,0.4516,0.0000,49.31,20.63,26.25,43.53
CL-4,5,0.0986,0.4273,0.0000,47.20,16.72,25.13,46.07
CL-4,7,0.2014,0.4426,0.0000,34.07,9.84,20.10,41.11
CL-4,9,0.3169,0.4766,0.0000,21.48,5.71,14.89,36.51
CL-4,11,0.3054,0.4906,0.0000,25.29,6.88,15.59,36.67
IB-4,1,0.0534,0.3736,0.0000,66.35,39.26,36.56,53.18
IB-4,3,0.0491,0.3747,0.0000,69.10,39.68,38.40,57.24
IB-4,5,0.0534,0.3850,0.0000,65.50,33.12,36.91,54.12
IB-4,7,0.0649,0.4060,0.0000,59.15,25.82,32.77,50.99
IB-4,9,0.0742,0.4104,0.0000,54.81,20.11,30.06,47.91
IB-4,11,0.0867,0.4102,0.0000,51.64,18.10,28.39,47.35
IB-4,13,0.1188,0.4243,0.0000,43.92,12.06,24.62,43.54
IB-4,15,0.1453,0.4131,0.0000,49.95,15.66,27.83,46.04
IB-4,17,0.1752,0.4255,0.0000,43.39,12.91,24.76,43.40
