source,method,variant,epoch,loss_f,loss_g,loss_s,R1@0.5,R1@0.7,mAP,mIoU
paper,MATR,Zero-shot,,,,, 30.7,,,31.8
paper,MATR,Trained+V,,,,,52.7,,,59.2
paper,MATR,Finetuned+V (soft-DTW),,,,,56.5,,,59.2
paper,MATR,No alignment (ablation),,,,,46.6,,,48.6
paper,MATR,TCC alignment (ablation),,,,,48.2,,,53.9
paper,MATR,Drop-DTW (ablation),,,,,46.7,,,55.6
ours,MATR,Trained+V,-1,0.1163,1.0657,0.0000,0.00,0.00,0.04,0.03
ours,MATR,Trained+V,1,0.0716,0.4854,0.0000,47.62,22.65,20.42,44.95
ours,MATR,Trained+V,3,0.0622,0.4218,0.0000,47.20,17.88,28.16,43.02
ours,MATR,Trained+V,5,0.0517,0.3852,0.0000,60.95,29.52,31.61,51.76
ours,MATR,Trained+V,7,0.0751,0.4114,0.0000,49.95,20.21,27.00,46.50
