feature,epoch,loss_f,loss_g,loss_s,R1@0.5,R1@0.7,mAP,mIoU
CLIP,-1,0.1166,1.3909,0,0.00,0.00,0.00,0.00
CLIP,1,0.0669,0.4338,0,44.02,17.99,25.32,40.32
CLIP,3,0.0986,0.4273,0,47.20,16.72,25.13,46.07
CLIP,5,0.2014,0.4426,0,34.07,9.84,20.10,41.11
CLIP,7,0.3169,0.4766,0,21.48,5.71,14.89,36.51
ImageBind,-1,0.1163,1.0657,0.0000,0.00,0.00,0.04,0.03
ImageBind,1,0.0716,0.4854,0.0000,47.62,22.65,20.42,44.95
ImageBind,3,0.0622,0.4218,0.0000,47.20,17.88,28.16,43.02
ImageBind,5,0.0517,0.3852,0.0000,60.95,29.52,31.61,51.76
ImageBind,7,0.0751,0.4114,0.0000,49.95,20.21,27.00,46.50
